linked,stock_link_ratio,subsector,name,min_lifetime,max_lifetime,source,additional_description,demand_tech_unit_type,unit,time_unit,cost_of_capital,stock_decay_function,mean_lifetime,lifetime_variance,shape,max_lead_hours,max_lag_hours
,,residential water heating,Reference Electric Resistance Water Heater (with flex cost),6.0,20.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,water heater,,,weibull,13.0,,,,
,,residential water heating,Reference Electric Heat Pump Water Heater (with flex cost),6.0,20.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,water heater,,,weibull,13.0,,,,
,,residential water heating,High Efficiency Electric Heat Pump Water Heater (with flex cost),6.0,20.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,water heater,,,weibull,13.0,,,,
,,residential water heating,High Efficiency Electric Resistance Water Heater (with flex cost),6.0,20.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,water heater,,,weibull,13.0,,,,
,,residential air conditioning,High Efficiency Central Air Conditioner (with flex cost),7.0,21.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,air conditioning unit,,,weibull,14.0,,high_efficiency_central_ac_res,,
,,Industrial Drying,Industrial LPG Oven/Furnace,20.0,40.0,,Updated on 5/26/2017 as part of NREL EFS;,equipment,kbtu,hour,,weibull,,,,,
Reference Air Source Heat Pump - Cooling (with flex cost),1.0,residential space heating,Reference Air Source Heat Pump - Heating (with flex cost),7.0,21.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,heating unit,,,weibull,14.0,,reference_heat_pump_heating_res,,
,,residential space heating,Reference Electric Unit Heaters (with flex cost),10.0,25.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,heating unit,,,weibull,17.5,,electric_furnace_res,,
Reference Geothermal Heat Pump - Cooling (with flex cost),1.0,residential space heating,Reference Geothermal Heat Pump - Heating (with flex cost),10.0,30.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,heating unit,,,weibull,20.0,,high_efficiency_heat_pump_heating_res,,
High Efficiency Air Source Heat Pump - Cooling (with flex cost),1.0,residential space heating,High Efficiency Air Source Heat Pump - Heating (with flex cost),7.0,21.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,heating unit,,,weibull,14.0,,high_efficiency_heat_pump_heating_res,,
High Efficiency Geothermal Heat Pump - Cooling (with flex cost),1.0,residential space heating,High Efficiency Geothermal Heat Pump - Heating (with flex cost),10.0,30.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,heating unit,,,weibull,20.0,,high_efficiency_heat_pump_heating_res,,
Ductless Mini-Split Heat Pump - Cooling (with flex cost),1.0,residential space heating,Ductless Mini-Split Heat Pump - Heating (with flex cost),,,https://www1.eere.energy.gov/buildings/publications/pdfs/building_america/minisplit_multifamily_retrofit.pdf,,equipment,heating unit,,,weibull,16.0,4.0,reference_heat_pump_heating_res,,
Through-the-wall Heat Pump - Cooling (with flex cost),1.0,residential space heating,Through-the-wall Heat Pump - Heating (with flex cost),,,https://www1.eere.energy.gov/buildings/publications/pdfs/building_america/minisplit_multifamily_retrofit.pdf,,equipment,heating unit,,,weibull,10.0,2.5,reference_heat_pump_heating_res,,
,,residential air conditioning,Reference Central Air Conditioner (with flex cost),7.0,21.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,air conditioning unit,,,weibull,14.0,,reference_central_ac_res,,
,,residential air conditioning,Reference Air Source Heat Pump - Cooling (with flex cost),7.0,21.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,air conditioning unit,,,weibull,14.0,,reference_heat_pump_cooling_res,,
,,residential air conditioning,Reference Geothermal Heat Pump - Cooling (with flex cost),10.0,30.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,air conditioning unit,,,weibull,14.0,,high_efficiency_heat_pump_cooling_res,,
,,residential air conditioning,High Efficiency Air Source Heat Pump - Cooling (with flex cost),7.0,21.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,air conditioning unit,,,weibull,20.0,,high_efficiency_heat_pump_cooling_res,,
,,residential air conditioning,High Efficiency Geothermal Heat Pump - Cooling (with flex cost),7.0,21.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,air conditioning unit,,,weibull,20.0,,high_efficiency_heat_pump_cooling_res,,
,,residential air conditioning,Reference Room Air Conditioner (with flex cost),8.0,16.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,air conditioning unit,,,weibull,18.0,,reference_room_ac_res,,
,,residential air conditioning,High Efficiency Room Air Conditioner (with flex cost),8.0,16.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,air conditioning unit,,,weibull,18.0,,high_efficiency_room_ac_res,,
,,residential air conditioning,Ductless Mini-Split Heat Pump - Cooling (with flex cost),,,https://www1.eere.energy.gov/buildings/publications/pdfs/building_america/minisplit_multifamily_retrofit.pdf,,equipment,air conditioning unit,,,weibull,16.0,4.0,reference_heat_pump_cooling_res,,
,,residential air conditioning,Through-the-wall Heat Pump - Cooling (with flex cost),,,https://www1.eere.energy.gov/buildings/publications/pdfs/building_america/minisplit_multifamily_retrofit.pdf,,equipment,air conditioning unit,,,weibull,10.0,2.5,reference_heat_pump_cooling_res,,
,,residential clothes washing,Reference Clothes Washer - Front Loading (with flex cost),11.0,18.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,clothes washer,,,weibull,,,,,
,,residential clothes washing,High Efficiency Clothes Washer - Front Loading (with flex cost),11.0,18.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,clothes washer,,,weibull,,,,,
,,residential clothes washing,Reference Clothes Washer - Top Loading (with flex cost),11.0,18.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,clothes washer,,,weibull,,,,,
,,residential clothes drying,Reference Electric Clothes Dryer (with flex cost),11.0,20.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,clothes dryer,,,weibull,,,,,
,,residential clothes drying,High Efficiency Electric Clothes Dryer (with flex cost),11.0,20.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,clothes dryer,,,weibull,,,,,
,,residential refrigeration,Reference Top Mount Refrigerator (with flex cost),7.0,26.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,service demand,cubic_feet,,,weibull,,,,,
,,residential refrigeration,High Efficiency Top Mount Refrigerator (with flex cost),7.0,26.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,service demand,cubic_feet,,,weibull,,,,,
,,residential refrigeration,Reference Bottom Mount Refrigerator (with flex cost),7.0,26.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,service demand,cubic_feet,,,weibull,,,,,
,,residential refrigeration,High Efficiency Bottom Mount Refrigerator (with flex cost),7.0,26.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,service demand,cubic_feet,,,weibull,,,,,
,,residential refrigeration,Reference Side Mount Refrigerator (with flex cost),7.0,26.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,service demand,cubic_feet,,,weibull,,,,,
,,residential refrigeration,High Efficiency Side Mount Refrigerator (with flex cost),7.0,26.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,service demand,cubic_feet,,,weibull,,,,,
Reference Air Source Heat Pump - Cooling,1.0,residential space heating,Reference Air Source Heat Pump - Heating,9.0,22.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,heating unit,,,weibull,,,reference_heat_pump_heating_res,,
,,residential water heating,Reference Electric Heat Pump Water Heater,6.0,20.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,water heater,,,weibull,,,,,
,,residential air conditioning,Reference Air Source Heat Pump - Cooling,9.0,22.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,air conditioning unit,,,weibull,,,reference_heat_pump_cooling_res,,
,,commercial air conditioning,Reference Commercial Air Source Heat Pump - Cooling,7.5,22.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial water heating,Commercial Reference Heat Pump Storage Water Heater,6.5,19.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial water heating,Commercial High Efficiency Heat Pump Storage Water Heater,6.5,19.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,Industrial Drying,Industrial IR processing,20.0,40.0,,Updated on 9/15/2017 as part of NREL EFS;,equipment,kbtu,hour,,weibull,,,,,
,,Industrial curing,Industrial Induction Furnace,20.0,40.0,,Updated on 5/26/2017 as part of NREL EFS;,equipment,kbtu,hour,,weibull,,,,,
,,Industrial curing,Industrial Process Heat  - Heat Pump,20.0,40.0,,Updated on 5/26/2017 as part of NREL EFS;,equipment,kbtu,hour,,weibull,,,,,
,,Industrial curing,Industrial Distillate Oven/Furnace,20.0,40.0,,Updated on 5/26/2017 as part of NREL EFS;,equipment,kbtu,hour,,weibull,,,,,
,,Industrial curing,Industrial LPG Oven/Furnace,20.0,40.0,,Updated on 5/26/2017 as part of NREL EFS;,equipment,kbtu,hour,,weibull,,,,,
,,Industrial curing,Industrial Gas Oven/Furnace,20.0,40.0,,Updated on 5/26/2017 as part of NREL EFS;,equipment,kbtu,hour,,weibull,,,,,
,,Industrial curing,Industrial Other Petroleum Oven/Furnace,20.0,40.0,,Updated on 5/26/2017 as part of NREL EFS;,equipment,kbtu,hour,,weibull,,,,,
,,Industrial curing,Industrial Residual Fuel Oil Oven/Furnace,20.0,40.0,,Updated on 5/26/2017 as part of NREL EFS;,equipment,kbtu,hour,,weibull,,,,,
,,Industrial curing,Industrial Electric Resistance Heat/Melt,20.0,40.0,,Updated on 5/26/2017 as part of NREL EFS;,equipment,kbtu,hour,,weibull,,,,,
,,Industrial curing,Industrial Coal Oven/Furnace,20.0,40.0,,Updated on 5/26/2017 as part of NREL EFS;,equipment,kbtu,hour,,weibull,,,,,
,,Industrial Drying,Industrial Induction Furnace,20.0,40.0,,Updated on 5/26/2017 as part of NREL EFS;,equipment,kbtu,hour,,weibull,,,,,
,,Industrial Drying,Industrial Process Heat  - Heat Pump,20.0,40.0,,Updated on 5/26/2017 as part of NREL EFS;,equipment,kbtu,hour,,weibull,,,,,
,,Industrial Drying,Industrial Gas Oven/Furnace,20.0,40.0,,Updated on 5/26/2017 as part of NREL EFS;,equipment,kbtu,hour,,weibull,,,,,
,,Industrial Drying,Industrial Other Petroleum Oven/Furnace,20.0,40.0,,Updated on 5/26/2017 as part of NREL EFS;,equipment,kbtu,hour,,weibull,,,,,
,,Industrial Drying,Industrial Residual Fuel Oil Oven/Furnace,20.0,40.0,,Updated on 5/26/2017 as part of NREL EFS;,equipment,kbtu,hour,,weibull,,,,,
,,Industrial Drying,Industrial Electric Resistance Heat/Melt,20.0,40.0,,Updated on 5/26/2017 as part of NREL EFS;,equipment,kbtu,hour,,weibull,,,,,
,,Industrial Drying,Industrial Coal Oven/Furnace,20.0,40.0,,Updated on 5/26/2017 as part of NREL EFS;,equipment,kbtu,hour,,weibull,,,,,
Reference Commercial Gas Heat Pump - Cooling,1.0,commercial space heating,Reference Commercial Gas Heat Pump - Heating,7.5,22.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,residential space heating,Reference Electric Unit Heaters,10.0,25.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,heating unit,,,weibull,17.5,,electric_furnace_res,,
,,commercial lighting,8ft LFL: T8 F59,,,"AEO 2017, ""ktek.csv""",Updated on 10/10/2017 as part of NREL Powerup study,service demand,kilolumen_hour,hour,,weibull,6.028,1.507,,,
,,commercial lighting,8ft LFL: T8 F59 - High Efficiency,,,"AEO 2017, ""ktek.csv""",Updated on 10/10/2017 as part of NREL Powerup study,service demand,kilolumen_hour,hour,,weibull,6.028,1.507,,,
,,commercial lighting,8ft LFL: T8 F59 HE - High Efficiency,,,"AEO 2017, ""ktek.csv""",Updated on 10/10/2017 as part of NREL Powerup study,service demand,kilolumen_hour,hour,,weibull,6.028,1.507,,,
,,commercial lighting,4ft LFL: LED Integrated Luminaire,,,"AEO 2017, ""ktek.csv""",Updated on 10/10/2017 as part of NREL Powerup study,service demand,kilolumen_hour,hour,,weibull,12.08,3.02,,,
,,commercial lighting,4ft LFL: T8 F32 High-efficiency/High-Output,,,"AEO 2017, ""ktek.csv""",Updated on 10/10/2017 as part of NREL Powerup study,service demand,kilolumen_hour,hour,,weibull,6.48,1.62,,,
,,commercial lighting,4ft LFL: T8 F32 Commodity - High Efficiency,,,"AEO 2017, ""ktek.csv""",Updated on 10/10/2017 as part of NREL Powerup study,service demand,kilolumen_hour,hour,,weibull,5.7,1.425,,,
,,commercial lighting,8ft LFL: T8 F96 HO,,,"AEO 2017, ""ktek.csv""",Updated on 10/10/2017 as part of NREL Powerup study,service demand,kilolumen_hour,hour,,weibull,4.34,1.085,,,
,,commercial lighting,8ft LFL: T8 F96 HO - High Efficiency,,,"AEO 2017, ""ktek.csv""",Updated on 10/10/2017 as part of NREL Powerup study,service demand,kilolumen_hour,hour,,weibull,4.34,1.085,,,
,,commercial lighting,Low-Bay LFL: LED Integrated Luminaire,,,"AEO 2017, ""ktek.csv""",Updated on 10/10/2017 as part of NREL Powerup study,service demand,kilolumen_hour,hour,,weibull,24.25,6.0625,,,
,,commercial lighting,Low-Bay LFL: LED Integrated Luminaire - High Efficiency,,,"AEO 2017, ""ktek.csv""",Updated on 10/10/2017 as part of NREL Powerup study,service demand,kilolumen_hour,hour,,weibull,24.25,6.0625,,,
,,commercial lighting,8ft LFL: LED Integrated Luminaire,,,"AEO 2017, ""ktek.csv""",Updated on 10/10/2017 as part of NREL Powerup study,service demand,kilolumen_hour,hour,,weibull,12.08,3.02,,,
,,commercial lighting,Low-Bay LFL: Metal Halide,,,"AEO 2017, ""ktek.csv""",Updated on 10/10/2017 as part of NREL Powerup study,service demand,kilolumen_hour,hour,,weibull,3.75,0.9375,,,
,,commercial lighting,Low-Bay LFL: Mercury Vapor,,,"AEO 2017, ""ktek.csv""",Updated on 10/10/2017 as part of NREL Powerup study,service demand,kilolumen_hour,hour,,weibull,6.185,1.54625,,,
,,commercial lighting,Low-Bay LFL: Sodium Vapor,,,"AEO 2017, ""ktek.csv""",Updated on 10/10/2017 as part of NREL Powerup study,service demand,kilolumen_hour,hour,,weibull,6.185,1.54625,,,
,,commercial lighting,High-Bay LFL: LED Integrated Luminaire,,,"AEO 2017, ""ktek.csv""",Updated on 10/10/2017 as part of NREL Powerup study,service demand,kilolumen_hour,hour,,weibull,24.25,6.0625,,,
,,commercial lighting,High-Bay LFL: LED Integrated Luminaire - High Efficiency,,,"AEO 2017, ""ktek.csv""",Updated on 10/10/2017 as part of NREL Powerup study,service demand,kilolumen_hour,hour,,weibull,24.25,6.0625,,,
,,commercial lighting,High-Bay LFL: Mercury Vapor,,,"AEO 2017, ""ktek.csv""",Updated on 10/10/2017 as part of NREL Powerup study,service demand,kilolumen_hour,hour,,weibull,6.185,1.54625,,,
,,commercial lighting,High-Bay LFL: Metal Halide,,,"AEO 2017, ""ktek.csv""",Updated on 10/10/2017 as part of NREL Powerup study,service demand,kilolumen_hour,hour,,weibull,3.711,0.92775,,,
,,commercial lighting,High-Bay LFL: T5 4xF54 HO High Bay,,,"AEO 2017, ""ktek.csv""",Updated on 10/10/2017 as part of NREL Powerup study,service demand,kilolumen_hour,hour,,weibull,6.43,1.6075,,,
,,commercial lighting,Lamp: 100W Equivalent CFL Bare Spiral,,,"AEO 2017, ""ktek.csv""",Updated on 10/10/2017 as part of NREL Powerup study,service demand,kilolumen_hour,hour,,weibull,2.585,0.64625,,,
,,commercial lighting,Lamp: 100W Equivalent CFL Bare Spiral - High Efficiency,,,"AEO 2017, ""ktek.csv""",Updated on 10/10/2017 as part of NREL Powerup study,service demand,kilolumen_hour,hour,,weibull,2.585,0.64625,,,
,,commercial lighting,Lamp: 100W Equivalent LED A Lamp,,,"AEO 2017, ""ktek.csv""",Updated on 10/10/2017 as part of NREL Powerup study,service demand,kilolumen_hour,hour,,weibull,12.92,3.23,,,
,,commercial lighting,Lamp: 100W Equivalent LED A Lamp - High Efficiency,,,"AEO 2017, ""ktek.csv""",Updated on 10/10/2017 as part of NREL Powerup study,service demand,kilolumen_hour,hour,,weibull,12.92,3.23,,,
,,commercial lighting,Lamp: 100 Equivalent A19 Halogen,,,"AEO 2017, ""ktek.csv""","Given short lifetimes, this technology represents three replacements (i.e. capital costs 3x); Updated on 10/10/2017 as part of NREL Powerup study",service demand,kilolumen_hour,hour,,weibull,0.618,0.0,,,
,,commercial lighting,Lamp: LED PAR 38 ,,,"AEO 2017, ""ktek.csv""",Updated on 10/10/2017 as part of NREL Powerup study,service demand,kilolumen_hour,hour,,weibull,12.668,3.167,,,
,,commercial lighting,Lamp: Halogen Infrared Reflector (HIR)  PAR38,,,"AEO 2017, ""ktek.csv""",Updated on 10/10/2017 as part of NREL Powerup study,service demand,kilolumen_hour,hour,,weibull,1.16,0.29,,,
,,commercial lighting,Lamp: Halogen Par 38,,,"AEO 2017, ""ktek.csv""","Given short lifetimes, this technology represents three replacements (i.e. capital costs 3x); Updated on 10/10/2017 as part of NREL Powerup study",service demand,kilolumen_hour,hour,,weibull,1.86,0.4625,,,
,,commercial lighting,High-Bay LFL: Sodium Vapor,,,"AEO 2017, ""ktek.csv""",Updated on 10/10/2017 as part of NREL Powerup study,service demand,kilolumen_hour,hour,,weibull,6.185,1.54625,,,
,,commercial lighting,Lamp: LED PAR 38 - High Efficiency,,,"AEO 2017, ""ktek.csv""",Updated on 10/10/2017 as part of NREL Powerup study,service demand,kilolumen_hour,hour,,weibull,12.668,3.167,,,
,,commercial high intensity discharge lighting,LED High-Bay Lighting,9.17,27.52,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kilolumen_hour,hour,,weibull,,,,,
,,commercial lighting,4ft LFL: T8 F32 Commodity,,,"AEO 2017, ""ktek.csv""",Updated on 10/10/2017 as part of NREL Powerup study,service demand,kilolumen_hour,hour,,weibull,5.7,1.425,,,
,,commercial lighting,4ft LFL: LED Integrated Luminaire - High Efficiency,,,"AEO 2017, ""ktek.csv""",Updated on 10/10/2017 as part of NREL Powerup study,service demand,kilolumen_hour,hour,,weibull,12.08,3.02,,,
,,commercial lighting,4ft LFL: T5 F28,,,"AEO 2017, ""ktek.csv""",Updated on 10/10/2017 as part of NREL Powerup study,service demand,kilolumen_hour,hour,,weibull,7.65,1.9125,,,
,,commercial lighting,Lamp: 100W A19 Incandescent,,,"AEO 2017, ""ktek.csv""","Given short lifetimes, this technology represents three replacements (i.e. capital costs 3x); Updated on 10/10/2017 as part of NREL Powerup study",service demand,kilolumen_hour,hour,,weibull,0.762,0.0,,,
,,commercial linear fluorescent lighting,Reference Commercial High Output 8 ft. T8,2.94,8.81,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kilolumen_hour,hour,,weibull,,,,,
,,commercial lighting,4ft LFL: T5 F28 2015 - High Efficiency,,,"AEO 2017, ""ktek.csv""",Updated on 10/10/2017 as part of NREL Powerup study,service demand,kilolumen_hour,hour,,weibull,7.65,1.9125,,,
,,commercial lighting,8ft LFL: LED Integrated Luminaire - High Efficiency,,,"AEO 2017, ""ktek.csv""",Updated on 10/10/2017 as part of NREL Powerup study,service demand,kilolumen_hour,hour,,weibull,12.08,3.02,,,
,,commercial high intensity discharge lighting,LED Low-Bay Lighting Substitute,9.17,27.52,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kilolumen_hour,hour,,weibull,,,,,
,,commercial high intensity discharge lighting,Reference Commercial High Pressure Sodium High Bay,2.94,8.81,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kilolumen_hour,hour,,weibull,,,,,
,,commercial high intensity discharge lighting,Reference Commercial Mercury Vapor Low-Bay Lighting,2.94,8.81,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kilolumen_hour,hour,,weibull,,,,,
,,commercial linear fluorescent lighting,Reference 4 ft. T12 ,1.47,4.4,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kilolumen_hour,hour,,weibull,,,,,
,,commercial lighting,Commercial General Service Incandescent Lamp,0.37,1.1,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kilolumen_hour,hour,,weibull,,,,,
,,commercial high intensity discharge lighting,Reference Commercial High Output T5 High - Bay Lighting,2.45,7.34,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kilolumen_hour,hour,,weibull,,,,,
,,commercial linear fluorescent lighting,High Efficiency Commercial 4 ft. T8 w/ Occupance Sensor,1.1,3.3,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kilolumen_hour,hour,,weibull,,,,,
,,commercial linear fluorescent lighting,LED 4 ft. Linear Fluorescent Substitute,9.17,27.52,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kilolumen_hour,hour,,weibull,,,,,
,,commercial linear fluorescent lighting,High Efficiency Commercial 4 ft. T8 w/ Specular Reflector,2.32,6.97,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kilolumen_hour,hour,,weibull,,,,,
,,commercial lighting,Reference Commercial Halogen PAR38,0.31,0.92,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kilolumen_hour,hour,,weibull,,,,,
,,commercial high intensity discharge lighting,Reference Commercial Metal Halide High Bay,2.45,7.34,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kilolumen_hour,hour,,weibull,,,,,
,,commercial high intensity discharge lighting,Reference Commercial High Pressure Sodium Low-Bay Lighting,2.94,8.81,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kilolumen_hour,hour,,weibull,,,,,
,,commercial linear fluorescent lighting,High Efficiency Commercial 4 ft. T8 w/ Occupancy Sensor and Specular Reflector,1.1,3.3,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kilolumen_hour,hour,,weibull,,,,,
,,commercial linear fluorescent lighting,Reference Commercial 4 -ft T5,3.06,9.17,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kilolumen_hour,hour,,weibull,,,,,
,,commercial lighting,Reference Commercial Halogen Edison A-line Lamp,0.12,0.37,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kilolumen_hour,hour,,weibull,,,,,
,,commercial linear fluorescent lighting,Reference Commercial 8 ft. T8,1.83,5.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kilolumen_hour,hour,,weibull,,,,,
,,commercial linear fluorescent lighting,High Efficiency Commercial 4 ft. T8,2.32,6.97,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kilolumen_hour,hour,,weibull,,,,,
,,commercial linear fluorescent lighting,Reference Commercial <4 ft. T8,2.45,7.34,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kilolumen_hour,hour,,weibull,,,,,
,,commercial linear fluorescent lighting,High Efficiency Commercial 8 ft. T8,2.2,6.6,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kilolumen_hour,hour,,weibull,,,,,
,,commercial linear fluorescent lighting,Reference Commercial 4 Ft. T8,3.06,9.17,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kilolumen_hour,hour,,weibull,,,,,
,,commercial high intensity discharge lighting,Reference Commercial Metal Halide Low-Bay Lighting,1.83,5.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kilolumen_hour,hour,,weibull,,,,,
,,commercial lighting,LED Edison Socket Substitute,9.17,27.52,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kilolumen_hour,hour,,weibull,,,,,
,,commercial lighting,High Efficiency Commercial Halogen Infrared Reflector PAR38,0.44,1.32,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kilolumen_hour,hour,,weibull,,,,,
,,commercial high intensity discharge lighting,Reference Commercial Mercury Vapor High Bay,2.94,8.81,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kilolumen_hour,hour,,weibull,,,,,
,,commercial linear fluorescent lighting,Reference Commercial 8 ft. T12,1.47,4.4,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kilolumen_hour,hour,,weibull,,,,,
,,commercial lighting,Commercial Compact Fluorescent Lamp,1.47,4.4,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kilolumen_hour,hour,,weibull,,,,,
,,residential space heating,Reference Electric Furnace,20.0,30.0,,Updated on 10/9/2017 as part of EPSA supply curve analysis,equipment,heating unit,,,weibull,,,electric_furnace_res,,
,,residential space heating,Reference Electric Furnace (with flex cost),20.0,30.0,,Updated on 10/9/2017 as part of EPSA supply curve analysis,equipment,heating unit,,,weibull,,,electric_furnace_res,,
,,residential air conditioning,Reference Central Air Conditioner,7.0,21.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,air conditioning unit,,,weibull,14.0,,reference_central_ac_res,,
High Efficiency Commercial Air Source Heat Pump - Cooling (with flex cost),1.0,commercial space heating,High Efficiency Commercial Air Source Heat Pump - Heating (with flex cost),7.5,22.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
,,commercial air conditioning,High Efficiency Commercial Ground Source Heat Pump - Cooling,12.5,37.5,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “ktek.txt”,,service demand,kiloBtu,hour,,weibull,,,,,
